epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7527,1.2458,1.97801,2.08274,1.17308,0.80804,0.69364,0.76079,0.4742,0.81814,0.70231,0.77324,0.49254,1.22032,1.89009,1.29637,1.07434,0.000664251,0.000664251,0.000664251
2,32.7817,1.36408,2.03813,1.56068,1.26418,0.67721,0.59538,0.65226,0.37285,0.74338,0.56931,0.64946,0.38609,1.46351,2.2857,1.2954,1.2635,0.00131774,0.00131774,0.00131774
3,46.7069,1.39215,2.06311,1.41863,1.28806,0.79656,0.69028,0.73862,0.4268,0.81247,0.69075,0.74898,0.44133,1.34385,2.16361,1.21764,1.15306,0.00195803,0.00195803,0.00195803
4,60.3517,1.34643,2.00443,1.28778,1.24396,0.67933,0.71636,0.70581,0.43289,0.75095,0.65896,0.71655,0.45023,1.30578,1.91627,1.32861,1.12349,0.0019406,0.0019406,0.0019406
5,74.287,1.33038,1.92194,1.21685,1.25096,0.7575,0.68612,0.73743,0.46227,0.76946,0.69075,0.74012,0.45502,1.19371,1.89409,1.11917,1.0731,0.0019208,0.0019208,0.0019208
6,88.3606,1.2842,1.87236,1.15608,1.21742,0.8214,0.76301,0.77706,0.47596,0.82146,0.75796,0.77928,0.47177,1.17293,1.93206,0.98187,1.07357,0.001901,0.001901,0.001901
7,102.438,1.26716,1.84769,1.10423,1.20837,0.82991,0.75145,0.81053,0.54128,0.82463,0.75434,0.81358,0.5145,1.14129,1.83651,0.83817,1.02465,0.0018812,0.0018812,0.0018812
8,116.599,1.21049,1.7858,1.04915,1.17296,0.82526,0.75434,0.80003,0.54447,0.83042,0.74855,0.80952,0.53253,1.12157,1.70434,0.87623,1.0172,0.0018614,0.0018614,0.0018614
9,130.724,1.20052,1.75479,1.03034,1.16701,0.84402,0.73506,0.80433,0.52098,0.83017,0.73699,0.80952,0.52285,1.16342,1.74005,0.86058,1.00597,0.0018416,0.0018416,0.0018416
10,144.627,1.18622,1.74249,1.0064,1.15681,0.83411,0.79191,0.82201,0.53868,0.83195,0.78902,0.81922,0.5152,1.10949,1.66639,0.80336,1.01597,0.0018218,0.0018218,0.0018218
11,158.543,1.16418,1.68698,0.96304,1.15036,0.85103,0.76301,0.82491,0.54954,0.85103,0.76301,0.83403,0.54919,1.13976,1.73357,0.79993,1.05773,0.001802,0.001802,0.001802
12,172.606,1.17798,1.73534,0.98041,1.13924,0.81579,0.79354,0.81923,0.55196,0.80612,0.78324,0.81291,0.5227,1.09699,1.74065,0.83766,1.00061,0.0017822,0.0017822,0.0017822
13,186.983,1.16315,1.67922,0.9417,1.1391,0.86421,0.77168,0.83445,0.56073,0.86744,0.77457,0.8425,0.54644,1.09192,1.66804,0.81457,0.99683,0.0017624,0.0017624,0.0017624
14,201.292,1.14534,1.70274,0.94118,1.13434,0.80161,0.77073,0.81096,0.54125,0.80616,0.78324,0.8183,0.52071,1.0895,1.69655,0.80462,1.02202,0.0017426,0.0017426,0.0017426
15,215.399,1.13565,1.69371,0.92104,1.12603,0.85138,0.79472,0.83741,0.56097,0.83535,0.80347,0.84194,0.54675,1.09362,1.74441,0.78311,1.00737,0.0017228,0.0017228,0.0017228
16,229.576,1.12941,1.65245,0.9203,1.12698,0.84199,0.80086,0.85001,0.57248,0.83836,0.79449,0.85069,0.55808,1.1015,1.67449,0.75048,0.99738,0.001703,0.001703,0.001703
17,243.709,1.11014,1.64717,0.89489,1.12363,0.85822,0.80058,0.85517,0.58764,0.86467,0.7948,0.8525,0.56044,1.04053,1.64511,0.73752,0.9763,0.0016832,0.0016832,0.0016832
18,257.899,1.09262,1.62455,0.90377,1.11338,0.85157,0.74618,0.8176,0.55402,0.85345,0.74059,0.82841,0.53388,1.11609,1.68726,0.80675,1.02237,0.0016634,0.0016634,0.0016634
19,272.147,1.09674,1.62082,0.88611,1.10458,0.86859,0.76012,0.83219,0.57659,0.88073,0.76879,0.84659,0.55945,1.06255,1.58669,0.79489,0.99788,0.0016436,0.0016436,0.0016436
